Alabama	South	East South Central	22.3	37.0	-0.76	0.24	-0.78	-1.19	-1.43	-0.98	-1.11	-0.76
Alaska	West	Pacific	25.5	33.4	-0.81	0.86	-0.79	-0.91	-0.69	-1.04	-1.10	-1.19
Arizona	West	Mountain	28.0	34.1	-0.10	-0.28	0.01	-0.37	0.17	1.18	0.16	-0.18
Arkansas	South	West South Central	18.8	36.6	0.80	1.39	-1.39	-0.91	-1.12	-0.88	-1.07	-0.78
California	West	Pacific	31.7	34.2	-1.41	1.04	-0.73	0.69	-1.41	1.05	-0.21	-0.50
Colorado	West	Mountain	35.5	38.9	-0.27	-0.17	-0.13	-0.31	0.42	-0.48	-0.26	0.98
Connecticut	Northeast	New England	34.5	38.9	0.31	0.17	1.01	0.59	-0.64	0.12	1.62	0.48
DC	South	South Atlantic	45.7	35.8	-2.04	1.37	-0.59	2.47	0.89	0.28	0.09	0.97
Delaware	South	South Atlantic	26.9	37.5	-0.25	0.31	0.22	0.91	1.52	0.26	1.27	0.78
Florida	South	South Atlantic	26.0	39.3	-0.71	1.02	-0.51	-0.42	-0.22	0.70	-0.10	-0.57
Georgia	South	South Atlantic	27.6	34.0	-1.19	0.84	-0.82	-0.08	-0.54	0.24	-0.50	-0.57
Hawaii	West	Pacific	26.6	38.0	-0.96	1.54	1.27	2.28	-0.21	0.79	-0.88	-0.94
Idaho	West	Mountain	23.8	34.3	1.22	-0.80	0.02	-0.91	-0.67	-0.98	-1.13	-0.03
Illinois	Midwest	East North Central	27.4	35.4	-0.04	0.60	0.42	1.12	0.00	1.71	1.35	0.15
Indiana	Midwest	East North Central	21.1	35.7	1.62	-0.05	-0.20	-0.60	0.36	0.40	-0.33	-0.01
Iowa	Midwest	West North Central	24.3	38.0	2.72	-1.52	0.09	-0.88	0.43	-1.13	0.19	-0.45
Kansas	Midwest	West North Central	30.0	36.1	0.53	-0.53	-0.13	-0.44	-0.06	-0.88	-0.53	0.57
Kentucky	South	East South Central	21.0	37.3	1.15	0.54	0.08	-0.67	-0.96	0.09	-0.69	-0.34
Louisiana	South	West South Central	22.4	35.2	-0.59	2.13	0.57	0.11	1.47	0.16	-1.33	-0.86
Maine	Northeast	New England	24.2	40.7	0.14	-1.29	0.81	0.80	-0.70	-0.67	1.36	0.09
Maryland	South	South Atlantic	35.2	36.8	-0.67	0.07	0.49	2.05	1.92	-0.07	-0.15	0.37
Massachusetts	Northeast	New England	36.7	38.1	-1.00	0.17	1.22	1.55	-0.27	0.64	1.61	0.68
Michigan	Midwest	East North Central	24.4	36.6	1.08	-0.38	0.17	-0.37	-0.67	0.66	0.33	-0.45
Minnesota	Midwest	West North Central	32.5	36.6	-0.47	-0.06	0.45	0.28	1.00	-0.05	1.04	-0.84
Mississippi	South	East South Central	20.1	34.9	-0.39	0.68	-0.57	-1.01	0.05	0.33	-1.07	-0.47
Missouri	Midwest	West North Central	28.1	37.3	0.10	-0.26	-0.38	-0.25	-0.17	-1.29	0.99	0.58
Montana	West	Mountain	25.5	39.6	-0.26	-1.87	-1.43	-0.99	0.59	-1.49	-0.83	-0.78
Nebraska	Midwest	West North Central	24.8	36.0	0.78	-1.18	0.51	-0.82	-0.29	-1.19	-0.37	-0.56
Nevada	West	Mountain	24.5	35.1	0.80	1.31	0.33	0.37	0.74	1.20	0.30	-0.42
New Hampshire	Northeast	New England	35.4	39.2	0.11	-0.78	0.96	0.64	-0.65	-0.65	1.39	0.14
New Jersey	Northeast	Mid-Atlantic	34.6	37.8	0.01	0.48	1.17	1.11	0.21	0.51	1.51	0.84
New Mexico	West	Mountain	25.1	35.8	-0.25	-0.80	-0.54	-0.45	0.56	-1.01	-0.88	-0.44
New York	Northeast	Mid-Atlantic	30.6	37.3	-0.83	1.23	1.15	2.37	-0.46	1.53	1.59	0.26
North Carolina	South	South Atlantic	23.4	36.0	-0.53	-0.31	0.45	-0.49	-0.09	-0.10	-0.75	-0.41
North Dakota	Midwest	West North Central	25.2	38.8	0.71	-1.83	-0.83	-1.28	2.09	-0.41	0.52	-1.13
Ohio	Midwest	East North Central	24.6	37.5	0.97	-0.55	-0.21	-0.29	0.66	0.60	0.00	0.44
Oklahoma	South	West South Central	22.9	36.5	-0.23	1.26	-0.87	-0.93	-1.46	0.18	-1.17	-0.17
Oregon	West	Pacific	25.9	37.0	0.44	0.13	0.48	-0.32	-1.56	2.34	-1.04	1.74
Pennsylvania	Northeast	Mid-Atlantic	25.3	39.3	0.33	0.03	0.94	0.50	1.31	-0.58	1.61	0.47
Rhode Island	Northeast	New England	27.2	38.1	0.72	-0.22	1.09	1.02	0.07	0.21	1.74	0.49
South Carolina	South	South Atlantic	24.9	36.9	-0.38	-0.42	-0.18	-0.40	-0.38	-0.68	-0.77	-0.48
South Dakota	Midwest	West North Central	25.5	37.0	1.07	-2.20	-0.49	-0.64	2.51	-0.61	0.29	-0.83
Tennessee	South	East South Central	24.3	37.0	-0.50	-0.05	-0.91	-0.72	-0.61	-0.62	-0.99	-0.78
Texas	South	West South Central	24.5	32.9	-1.06	1.48	-0.14	-0.29	-0.28	1.33	-0.54	-0.08
Utah	West	Mountain	30.8	28.0	1.23	0.42	4.11	-1.75	-1.55	3.38	-1.47	4.86
Vermont	Northeast	New England	34.2	40.4	-1.40	-1.10	-0.74	0.88	-0.48	0.03	1.53	-0.27
Virginia	South	South Atlantic	33.1	36.9	-2.82	-0.78	-2.80	-0.30	-1.13	-1.11	-0.66	-0.78
Washington	West	Pacific	29.9	36.4	0.02	0.72	0.20	0.97	-0.95	-0.39	-0.50	2.40
West Virginia	South	South Atlantic	15.3	40.3	1.58	0.35	-0.72	-0.85	-0.19	-0.98	-0.58	-0.28
Wisconsin	Midwest	East North Central	25.6	37.5	0.83	-1.22	-0.10	0.11	2.35	-0.37	1.39	-0.56
Wyoming	West	Mountain	22.5	38.4	0.67	-1.71	-1.22	-1.00	0.52	-1.28	-0.87	-0.40
