1883 Cleveland Blues	0.55	4.76
1883 Detroit Wolverines	0.396	5.19
1884 Cincinnati Outlaw Reds	0.657	6.7
1884 Baltimore Monumentals	0.547	6.25
1884 Baltimore Orioles	0.583	5.89
1884 Philadelphia Athletics	0.565	6.48
1884 Brooklyn Atlantics	0.367	4.37
1884 Columbus Buckeyes	0.627	5.32
1884 Indianapolis Hoosiers	0.264	4.2
1884 Louisville Eclipse	0.618	5.21
1884 Pittsburg Alleghenys	0.273	3.69
1884 St. Louis Browns	0.609	5.98
1884 Toledo Blue Stockings	0.418	4.21
1884 Boston Reds	0.523	5.73
1884 Cincinnati Red Stockings	0.607	6.73
1884 New York Metropolitans	0.67	6.55
1884 Chicago White Stockings	0.549	7.38
1884 Cleveland Blues	0.31	4.05
1884 Philadelphia Quakers	0.345	4.86
1884 Detroit Wolverines	0.246	3.9
1884 Providence Grays	0.737	5.83
1884 St. Louis Maroons	0.825	7.78
1884 Washington Nationals	0.412	5.02
1884 Buffalo Bisons	0.557	6.09
1884 Boston Beaneaters	0.629	5.9
1884 New York Gothams	0.534	5.97
1885 New York Metropolitans	0.407	4.87
1885 Detroit Wolverines	0.38	4.76
1885 Baltimore Orioles	0.373	4.92
1885 Providence Grays	0.482	4.02
1885 Pittsburg Alleghenys	0.505	4.93
1885 Philadelphia Quakers	0.505	4.62
1885 St. Louis Maroons	0.324	3.51
1885 Brooklyn Grays	0.473	5.57
1885 Cincinnati Red Stockings	0.563	5.73
1885 Louisville Colonels	0.473	5.04
1885 St. Louis Browns	0.705	6.04
1885 Buffalo Bisons	0.339	4.42
1885 New York Giants	0.759	6.17
1885 Philadelphia Athletics	0.487	6.76
1885 Boston Beaneaters	0.407	4.67
1885 Chicago White Stockings	0.77	7.38
1886 Boston Beaneaters	0.475	5.57
1886 Philadelphia Quakers	0.597	5.22
1886 New York Giants	0.605	5.58
1886 Washington Nationals	0.224	3.56
1886 Chicago White Stockings	0.714	7.14
1886 Detroit Wolverines	0.69	6.58
1886 Kansas City Cowboys	0.238	3.92
1886 St. Louis Maroons	0.341	4.34
1886 New York Metropolitans	0.387	4.58
1886 Louisville Colonels	0.478	6.04
1886 Baltimore Orioles	0.345	4.5
1886 Philadelphia Athletics	0.453	5.55
1886 St. Louis Browns	0.669	6.79
1886 Pittsburg Alleghenys	0.571	5.79
1886 Brooklyn Grays	0.539	5.9
1886 Cincinnati Red Stockings	0.461	6.26
1887 Pittsburg Alleghenys	0.44	4.97
1887 Washington Nationals	0.365	4.77
1887 Boston Beaneaters	0.48	6.54
1887 Chicago White Stockings	0.559	6.4
1887 Detroit Wolverines	0.622	7.63
1887 Indianapolis Hoosiers	0.291	4.94
1887 Philadelphia Quakers	0.586	7.04
1887 New York Giants	0.527	6.33
1887 Cleveland Blues	0.293	5.48
1887 Cincinnati Red Stockings	0.596	6.56
1887 Philadelphia Athletics	0.467	6.52
